1998  Mitsubishi Pajero Pinin (IO),"135000 կմ , Կուպե, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն","31.12.2025 Հայաստան, Մաքսազերծված"
$ 4 100,2021  Kia K5,"85800 կմ , Gt Line, Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Սև","13.12.2025 Հայաստան, Մաքսազերծված"
$ 19 000,2019  BMW X3,"170000 մղոն , S Drive, Ունիվերսալ, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","15.03.2025 Հայաստան, Մաքսազերծված"
$ 21 500,2005  Nissan Xterra,"134000 մղոն , SE, Ունիվերսալ, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն"
֏ 2 700 000,2016  BMW X6,"100000 կմ , 35i XDrive, Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն","13.12.2023 Հայաստան, Մաքսազերծված"
$ 35 000,2008  VAZ (Lada) 2107,"100000 կմ , Սեդան, Բենզին և գազ, Մեխանիկական, Ձախ, Սպիտակ","30.12.2025 Հայաստան, Մաքսազերծված"
Պայմ.,2017  Land Rover Range Rover Sport,"155000 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Կարմիր, 3.0"
$ 47 000,2018  Mercedes-Benz E 300,"100000 կմ , Սեդան, Բենզին, Ավտոմատ, Ձախ, Կապույտ, Սպիտակ","13.09.2024 Հայաստան, Մաքսազերծված"
$ 31 000,2021  Hyundai Elantra,"50000 մղոն , LIMTED, Սեդան, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն","15.12.2025 Հայաստան, Մաքսազերծված"
$ 19 000,2021  Tesla Model 3,"65000 կմ , sr+, Սեդան, Էլեկտրական, Ավտոմատ, 55, 4, Ձախ","14.12.2025 Հայաստան, Մաքսազերծված"
$ 17 700,2022  Genesis G70,"13000 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Սև","26.04.2025 Հայաստան, Մաքսազերծված"
$ 38 000,2021  Kia Forte,"9800 մղոն , GT LINE, Սեդան, Բենզին, Ավտոմատ, Ձախ, Կապույտ","27.11.2025 Հայաստան, Մաքսազերծված"
$ 16 300,2022  BMW X5,"68000 կմ , G05, Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","30.12.2025 Հայաստան, Մաքսազերծված"
