Price,Year,Make,Model,Mileage,Body style,Engine,Gearbox,Hand drive,Color,Custom cleared
4100,2021.0,Kia,K5,85800.0,Սեդան,Բենզին,0,1,Սպիտակ,1
19000,2019.0,BMW,X3,273587.8,Ունիվերսալ,Բենզին,0,1,Սպիտակ,1
35000,2008.0,VAZ,(Lada) 2107,100000.0,Սեդան,Բենզին և գազ,1,1,Սպիտակ,1
47000,2018.0,Mercedes-Benz,E 300,100000.0,Սեդան,Բենզին,0,1,Կապույտ,1
31000,2021.0,Hyundai,Elantra,80467.0,Սեդան,Բենզին,0,1,Արծաթագույն,1
17700,2022.0,Genesis,G70,20921.42,Սեդան,Բենզին,0,1,Մոխրագույն,1
38000,2021.0,Kia,Forte,15771.532,Սեդան,Բենզին,0,1,Կապույտ,1
16300,2022.0,BMW,X5,68000.0,Ամենագնաց,Բենզին,0,1,Մոխրագույն,1
7000,2021.0,Jeep,Wrangler,22390.0,Ամենագնաց,Բենզին,0,1,Նարնջագույն,1
48000,2007.0,Ford,F150,207604.86,Պիկապ,Բենզին,0,1,Սպիտակ,1
47000,2007.0,Porsche,Cayenne,170000.0,Ամենագնաց,Բենզին,0,1,Սև,1
21800,2020.0,Mazda,3,140000.0,Սեդան,Բենզին,0,1,Այլ գույն,1
14000,2013.0,Chevrolet,Volt,180246.0,Հետչբեք,Հիբրիդ,0,1,Երկնագույն,1
6800,2022.0,Mercedes-Benz,C 300,40000.0,Սեդան,Բենզին,0,1,Սև,1
14700,2022.0,Mercedes-Benz,S 580,15000.0,Սեդան,Բենզին,0,1,Սև,1
20500,2025.0,Zeekr,9X Ultra,15.0,Ամենագնաց,Հիբրիդ,0,1,Սև,1
132000,2023.0,Land,Rover Range Rover,3500.0,Ամենագնաց,Դիզել,0,1,Մոխրագույն,1
229000,2018.0,Jeep,Cherokee,138403.24,Ամենագնաց,Բենզին,0,1,Կապույտ,1
19500,2020.0,Hyundai,Sonata,43452.18,Սեդան,Բենզին,0,1,Այլ գույն,1
18500,2018.0,Kia,Stinger,44000.0,Սեդան,Բենզին,0,1,Սպիտակ,1
23000,2023.0,Toyota,Corolla,15000.0,Սեդան,Բենզին,0,1,Մոխրագույն,1
4800,1999.0,Opel,Zafira,400000.0,Մինիվեն / Միկրոավտոբուս,Բենզին և գազ,1,1,Սև,1
3900,2020.0,Jeep,Cherokee,161899.604,Ամենագնաց,Բենզին,0,1,Արծաթագույն,1
15900,2021.0,Kia,Forte,160934.0,Սեդան,Բենզին,0,1,Սև,1
13000,2002.0,Toyota,Vitz,217000.0,Հետչբեք,Գազ,0,1,Սպիտակ,1
6100,2006.0,Mercedes-Benz,SLK 350,227000.0,Կաբրիոլետ / Ռոդսթեր,Բենզին,0,1,Սև,1
11500,2006.0,Kia,Sorento,280025.16,Ամենագնաց,Բենզին և գազ,0,1,Արծաթագույն,1
8800,2020.0,Dodge,Journey,120000.0,Ունիվերսալ,Բենզին,0,1,Արծաթագույն,1
17000,2011.0,Kia,Sorento,255885.06,Ամենագնաց,Գազ,0,1,Սև,1
10500,2019.0,Lexus,LX 570,82000.0,Ամենագնաց,Բենզին,0,1,Սև,1
102300,2021.0,BMW,X5,66000.0,Ամենագնաց,Բենզին,0,1,Սև,1
17000,2023.0,Hyundai,Elantra,91328.43566,Սեդան,Բենզին,0,1,Մոխրագույն,2
2000,2024.0,Hyundai,Elantra,75733.93106,Սեդան,Բենզին,0,1,Սև,2
2700,2019.0,Toyota,Camry,71177.88952,Սեդան,Բենզին,0,1,Սպիտակ,2
6500,2020.0,Kia,Sportage,92852.48064,Ամենագնաց,Բենզին,0,1,Մոխրագույն,2
13500,2020.0,Toyota,Corolla,75790.25796,Սեդան,Բենզին,0,1,Արծաթագույն,2
65000,2020.0,Toyota,Camry,81665.9583,Սեդան,Բենզին,0,1,Սև,2
3500,2020.0,Kia,Rio,46670.86,Հետչբեք,Բենզին,0,1,Մոխրագույն,1
9800,2015.0,Ford,Focus,201500.0,Սեդան,Բենզին,0,1,Կապույտ,1
7700,2008.0,Lexus,IS 250,166000.0,Սեդան,Բենզին,0,1,Սպիտակ,1
9500,2021.0,BMW,X5,29827.50756,Ամենագնաց,Բենզին,0,1,Մոխրագույն,2
25200,2020.0,Kia,Sportage,50647.53914,Ամենագնաց,Բենզին,0,1,Սև,2
5400,2018.0,Chevrolet,Cruze,106296.907,Սեդան,Բենզին,0,1,Մոխրագույն,2
2000,2019.0,Subaru,Legacy,149412.73494,Սեդան,Բենզին,0,1,Սև,2
3500,2019.0,Lexus,RX 350,120751.99888,Ամենագնաց,Բենզին,0,1,Սպիտակ,2
4300,2019.0,Nissan,Murano,129019.17846,Ամենագնաց,Բենզին,0,1,Մոխրագույն,2
5000,2019.0,Jeep,Cherokee,103232.72364,Ամենագնաց,Բենզին,0,1,Սպիտակ,2
4000,2019.0,Jeep,Cherokee,100524.20442,Ամենագնաց,Բենզին,0,1,Սպիտակ,2
4100,2019.0,Nissan,Versa,86484.32226,Սեդան,Բենզին,0,1,Արծաթագույն,2
