,$ 4 100,2021,Kia,K5,85800 կմ , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Մաքսազերծված
,$ 19 000,2019,BMW,X3,170000 մղոն , Ունիվերսալ, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Մաքսազերծված
,֏ 2 700 000,2016,BMW,X6,100000 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն, Մաքսազերծված
,$ 35 000,2008,VAZ,(Lada) 2107,100000 կմ , Սեդան, Բենզին և գազ, Մեխանիկական, Ձախ, Սպիտակ, Մաքսազերծված
,$ 47 000,2018,Mercedes-Benz,E 300,100000 կմ , Սեդան, Բենզին, Ավտոմատ, Ձախ, Կապույտ, Մաքսազերծված
,$ 31 000,2021,Hyundai,Elantra,50000 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն, Մաքսազերծված
,$ 17 700,2022,Genesis,G70,13000 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Մաքսազերծված
,$ 38 000,2021,Kia,Forte,9800 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Կապույտ, Մաքսազերծված
,$ 16 300,2022,BMW,X5,68000 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Մաքսազերծված
,$ 7 000,2021,Jeep,Wrangler,22390 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Նարնջագույն, Մաքսազերծված
,$ 48 000,2007,Ford,F150,129000 մղոն , Պիկապ, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Մաքսազերծված
,$ 13 500,2019,Honda,Accord,110000 կմ , физ лицо, Սեդան, Բենզին, Ավտոմատ, Ձախ, Մաքսազերծված
,2017  Land Rover Range Rover Sport,37000,մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ, Բեժ, Մաքսազերծված
,$ 47 000,2007,Porsche,Cayenne,170000 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև, Մաքսազերծված
,$ 21 800,2020,Mazda,3,140000 կմ , Սեդան, Բենզին, Ավտոմատ, Ձախ, Այլ գույն, Մաքսազերծված
,$ 14 000,2013,Chevrolet,Volt,180246 կմ , Հետչբեք, Հիբրիդ, Ավտոմատ, Ձախ, Երկնագույն, Մաքսազերծված
,$ 6 800,2022,Mercedes-Benz,C 300,40000 կմ , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև, Մաքսազերծված
,$ 47 500,2021,Kia,Forte,53000 մղոն , Սեդան, Բենզին, Վարիատոր, Ձախ, Նարնջագույն, Մաքսազերծված
,$ 14 700,2022,Mercedes-Benz,S 580,15000 կմ , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև, Մաքսազերծված
,Պայմ.,2022,Toyota,Rav 4,15000 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Այլ գույն, Մաքսազերծված
,$ 20 500,2025,Zeekr,9X Ultra,15 կմ , Ամենագնաց, Հիբրիդ, Ավտոմատ, Ձախ, Սև, Մաքսազերծված
